,Feature,Contribution
272,"_fft_coefficient__attr_""angle""__coeff_95",0.11263793225794672
276,"_fft_coefficient__attr_""imag""__coeff_12",0.11106374045008993
311,"_fft_coefficient__attr_""real""__coeff_97",0.10403415194204631
312,"_fft_coefficient__attr_""real""__coeff_98",0.10382901314202672
266,"_fft_coefficient__attr_""angle""__coeff_23",0.10359517858572975
341,_number_peaks__n_50,0.10229413394780414
58,_ar_coefficient__coeff_9__k_10,0.10086894548633829
264,"_fft_coefficient__attr_""angle""__coeff_14",0.1006155983275955
377,_time_reversal_asymmetry_statistic__lag_2,0.09694890208774976
308,"_fft_coefficient__attr_""real""__coeff_72",0.09563085207645447
303,"_fft_coefficient__attr_""real""__coeff_30",0.08774107936470256
273,"_fft_coefficient__attr_""angle""__coeff_98",0.0877244857409511
265,"_fft_coefficient__attr_""angle""__coeff_2",0.0861231724891917
326,"_linear_trend__attr_""pvalue""",0.07203856278846071
